epoch,coord_mode,input_projection_mode,p,K,d_mlp,ell_global,ell_neuron,ell_abs,ell_global_norm,ell_neuron_norm,ell_abs_norm,sum_alpha2beta2,coherence_in_mean,coherence_out_mean,coherence_mean,coherence_in_weighted,coherence_out_weighted,coherence_joint_weighted,H_in,H_out,top1_in,top2_in,top1_out,top2_out,param_norm_model,train_accuracy,test_accuracy
0,raw,direct_vocab,23,11,512,-2.3671145754633471e-07,7.616306163527042e-08,5.886394092158298e-07,-0.028019487857818604,0.009015406481921673,0.06967712938785553,8.448099833913147e-06,0.04740185663104057,0.05096340551972389,0.04918263107538223,0.04798373207449913,0.0511724129319191,0.049399156123399734,2.3967702388763428,2.397050619125366,0.09952472150325775,0.19582074880599976,0.0963711142539978,0.1919420063495636,3.209197006564246,0.03787878787878788,0.06015037593984962
200,raw,direct_vocab,23,11,512,-1.26166332847788e-06,-3.88928782513176e-07,1.6841883052620688e-06,-0.032505977898836136,-0.010020510293543339,0.04339207336306572,3.8813272112747654e-05,0.0743693932890892,0.17502452433109283,0.12469695508480072,0.07441958039999008,0.17352677881717682,0.12449585646390915,2.397721290588379,2.397413969039917,0.09463044255971909,0.18679818511009216,0.09624961018562317,0.19143004715442657,4.701358400011521,0.3712121212121212,0.0
400,raw,direct_vocab,23,11,512,-5.359222996048629e-06,-1.7093299220505287e-06,7.58957639845903e-06,-0.025658680126070976,-0.008183863013982773,0.036337077617645264,0.00020886589481960982,0.07377349585294724,0.15571214258670807,0.11474281549453735,0.07384055852890015,0.15409007668495178,0.11425546556711197,2.3978192806243896,2.3974854946136475,0.09283705800771713,0.18508054316043854,0.09621835500001907,0.1903952956199646,7.163158696695061,0.5404040404040404,0.0
600,raw,direct_vocab,23,11,512,-5.895833601243794e-05,-3.3933258691831725e-06,2.2637734218733385e-05,-0.08722077310085297,-0.005019960459321737,0.033489424735307693,0.0006759666721336544,0.069095678627491,0.11504628509283066,0.09207098186016083,0.06919140368700027,0.11353559792041779,0.09150063246488571,2.3978312015533447,2.3974010944366455,0.09300384670495987,0.18548934161663055,0.09652329981327057,0.19065535068511963,9.608730089830237,0.6843434343434344,0.0
800,raw,direct_vocab,23,11,512,-0.00024393352214246988,-6.313499397947453e-06,5.28608652530238e-05,-0.14968277513980865,-0.0038740967866033316,0.0324365459382534,0.0016296700341627002,0.06586018204689026,0.08508742600679398,0.07547380030155182,0.06595256924629211,0.08392444998025894,0.0750080943107605,2.3978309631347656,2.397395372390747,0.09302514791488647,0.18543913960456848,0.09604382514953613,0.19004608690738678,11.97394944840951,0.7196969696969697,0.0
1000,raw,direct_vocab,23,11,512,-0.0005011844332329929,-8.728682587388903e-06,0.00010239451512461528,-0.15357281267642975,-0.0026746406219899654,0.031375702470541,0.00326349725946784,0.06368176639080048,0.0649116113781929,0.06429669260978699,0.0637541189789772,0.0641169622540474,0.06395888328552246,2.397836685180664,2.397461175918579,0.09285636991262436,0.1849791407585144,0.09535077959299088,0.18906113505363464,14.245239533445353,0.7323232323232324,0.0
1200,raw,direct_vocab,23,11,512,-0.0008470893371850252,-9.184017471852712e-06,0.0001849523832788691,-0.14769567549228668,-0.0016012947307899594,0.03224768117070198,0.005735369864851236,0.061084941029548645,0.0515151284635067,0.05630003660917282,0.06113702058792114,0.05099787935614586,0.05606897175312042,2.3978359699249268,2.3975412845611572,0.09282922744750977,0.1847420036792755,0.09470052272081375,0.18810129165649414,16.40179161892221,0.7575757575757576,0.045112781954887216
1400,raw,direct_vocab,23,11,512,-0.001331073697656393,-4.69350561616011e-06,0.0002988061751239002,-0.14564312994480133,-0.0005135529791004956,0.03269470855593681,0.009139282628893852,0.05841248854994774,0.04291966184973717,0.05066607519984245,0.05843828618526459,0.04257725551724434,0.05050132796168327,2.397836923599243,2.397589683532715,0.09274400025606155,0.18489238619804382,0.09414618462324142,0.18732818961143494,18.427853507994612,0.8131313131313131,0.16541353383458646
1600,raw,direct_vocab,23,11,512,-0.0018947713542729616,-8.542367140762508e-06,0.0004419971373863518,-0.140420064330101,-0.0006330683245323598,0.03275607153773308,0.013493594713509083,0.05591076239943504,0.037611283361911774,0.04676102101802826,0.05592738837003708,0.03739440441131592,0.046647343784570694,2.3978352546691895,2.39762020111084,0.09277649223804474,0.1848711371421814,0.09346935898065567,0.18651536107063293,20.31339090594321,0.8535353535353535,0.2706766917293233
1800,raw,direct_vocab,23,11,512,-0.0025800771545618773,-2.4581535399192944e-05,0.0006236674380488694,-0.1373194456100464,-0.0013083029771223664,0.033193450421094894,0.01878887042403221,0.05324329063296318,0.03375263884663582,0.0434979647397995,0.05324897542595863,0.033631447702646255,0.043429404497146606,2.3978216648101807,2.397637367248535,0.09299065917730331,0.18515434861183167,0.09299500286579132,0.1859615594148636,22.065438137065488,0.952020202020202,0.5639097744360902
