,coord_mode,input_projection_mode,k,alpha,beta,C_in,C_out,coh_mean_k,align_k,cos_global,alpha2,beta2,alpha2beta2,epoch
0,raw,direct_vocab,1,0.029319258,0.029181113,0.045920763,0.06251316,0.05421696,-0.08481619,-0.39001164,0.0008596189,0.0008515374,7.319976e-07,0
1,raw,direct_vocab,2,0.030438991,0.02998748,0.089909285,0.055081774,0.07249553,-0.032166168,0.9295382,0.0009265322,0.000899249,8.3318315e-07,0
2,raw,direct_vocab,3,0.02851062,0.030391132,0.018890433,0.04881111,0.033850774,0.065211006,-0.19532907,0.0008128555,0.00092362094,7.5077037e-07,0
3,raw,direct_vocab,4,0.030364005,0.030003153,0.06330383,0.032987352,0.048145592,0.09655268,-0.73042184,0.0009219728,0.00090018916,8.299499e-07,0
4,raw,direct_vocab,5,0.029259915,0.029589765,0.06481809,0.05441195,0.059615023,-0.07863379,-0.9891566,0.0008561426,0.00087555416,7.495992e-07,0
5,raw,direct_vocab,6,0.029217167,0.02967732,0.051641203,0.047691457,0.04966633,0.05425099,0.95868844,0.0008536428,0.0008807433,7.518402e-07,0
6,raw,direct_vocab,7,0.030945076,0.028648322,0.045498636,0.03523756,0.040368095,-0.11494634,-0.07735461,0.0009575977,0.0008207264,7.859257e-07,0
7,raw,direct_vocab,8,0.028780749,0.02950657,0.026050324,0.071065105,0.048557714,0.092611946,0.39332634,0.0008283315,0.00087063765,7.211766e-07,0
8,raw,direct_vocab,9,0.029280523,0.02993309,0.024320595,0.022527473,0.023424033,0.12081775,0.16352978,0.000857349,0.0008959898,7.68176e-07,0
9,raw,direct_vocab,10,0.029527262,0.0305181,0.036779713,0.08786795,0.06232383,-0.022252789,-0.93911195,0.0008718592,0.0009313544,8.120099e-07,0
10,raw,direct_vocab,11,0.029593993,0.028542023,0.05428755,0.04240258,0.048345067,0.004095333,0.6474507,0.0008758044,0.00081464706,7.134715e-07,0
11,raw,direct_vocab,1,0.042894606,0.04374792,0.087303884,0.22666386,0.15698387,0.017469985,0.06996997,0.0018399472,0.0019138806,3.521439e-06,200
12,raw,direct_vocab,2,0.04290148,0.044244815,0.12303316,0.127597,0.12531509,-0.0071227914,-0.25998968,0.0018405368,0.0019576037,3.6030417e-06,200
13,raw,direct_vocab,3,0.042110015,0.045371957,0.10226678,0.08839733,0.09533206,-0.020657878,-0.9980234,0.0017732533,0.0020586145,3.650445e-06,200
14,raw,direct_vocab,4,0.042864192,0.04392159,0.09435582,0.29572472,0.19504027,0.0039818077,0.9628062,0.001837339,0.0019291061,3.5444218e-06,200
15,raw,direct_vocab,5,0.042650152,0.04393888,0.039367437,0.15250476,0.0959361,-0.03491946,0.94259405,0.0018190355,0.0019306251,3.5118755e-06,200
16,raw,direct_vocab,6,0.042327344,0.04401107,0.047527693,0.23052731,0.1390275,0.038694233,-0.5777889,0.0017916041,0.0019369744,3.4702912e-06,200
17,raw,direct_vocab,7,0.04347086,0.043415677,0.058467574,0.22969694,0.14408226,-0.08459362,0.99313366,0.0018897157,0.001884921,3.5619648e-06,200
18,raw,direct_vocab,8,0.042169183,0.04511925,0.10186638,0.052699193,0.07728279,0.07652001,-0.8289223,0.0017782401,0.0020357466,3.620046e-06,200
19,raw,direct_vocab,9,0.04260415,0.043231927,0.082412034,0.25912404,0.17076804,0.047373153,0.12268108,0.0018151135,0.0018689994,3.3924462e-06,200
20,raw,direct_vocab,10,0.04212541,0.04470881,0.031160904,0.14729984,0.08923037,-0.07229813,-0.40709442,0.0017745503,0.0019988779,3.5471094e-06,200
21,raw,direct_vocab,11,0.042545177,0.04327747,0.0503017,0.11503486,0.08266828,-0.075241365,-0.34062812,0.0018100921,0.0018729393,3.3901927e-06,200
