,metric,pearson_corr_with_test_accuracy,spearman_corr_with_test_accuracy,n
0,ell_neuron,0.8527515418907794,0.1257784246003657,251
1,ell_neuron_norm,0.41569018899677834,0.8088366074609739,251
2,ell_abs,0.852751521773177,0.1257784246003657,251
3,ell_abs_norm,0.4211374937836349,0.8088366074609739,251
4,ell_global,-0.20657215345112837,-0.642997027285559,251
5,ell_global_norm,-0.4136161384126485,-0.6855317481222855,251
6,sum_alpha2beta2,0.8505529203774534,0.12137545028856929,251
7,coherence_mean,-0.9133834872243475,-0.8088534950675396,251
8,coherence_joint_weighted,-0.9104003071094726,-0.8088534950675396,251
9,coherence_in_weighted,-0.7880736760960634,-0.808000670935977,251
10,coherence_out_weighted,-0.8218386628824043,-0.7725015146345502,251
11,top1_in,0.5370505057270947,-0.011239173401851613,251
12,top1_out,0.6820590408593002,-0.32252801518216406,251
13,param_norm,0.9388276510141134,0.11922837875382691,251
14,H_in,0.012456009267233647,0.6075309474263788,251
15,H_out,-0.5142149572806161,0.38974756043861514,251
