,metric,pearson_corr_with_test_accuracy,spearman_corr_with_test_accuracy,n
0,ell_neuron,0.7985411627193001,-0.03536544375309703,240
1,ell_neuron_norm,0.9411102261291254,0.7774982639265898,240
2,ell_abs,0.7985411627193001,-0.03536544375309703,240
3,ell_abs_norm,0.9411102261291254,0.7774982639265898,240
4,ell_global,-0.34723272362431346,-0.6477724950391462,240
5,ell_global_norm,-0.42771318477066866,-0.6567563482745898,240
6,sum_alpha2beta2,0.7901586263811938,-0.040605140917570656,240
7,coherence_mean,-0.9373298047907088,-0.7774982639265898,240
8,coherence_joint_weighted,-0.9311914427780322,-0.7774982639265898,240
9,coherence_in_weighted,-0.9229491061231356,-0.7774982639265898,240
10,coherence_out_weighted,-0.894363686724522,-0.7342347554512497,240
11,top1_in,0.5094781234700965,-0.19432045828846803,240
12,top1_out,-0.44491840610606914,-0.5688706839608441,240
13,param_norm,0.7726365285934681,-0.04316023296123098,240
14,H_in,0.6301207462321251,0.694140662714323,240
15,H_out,0.5491986537223997,0.6488621056214549,240
