,metric,"corr(Δmetric, Δtest_acc)","spearman(Δmetric, Δtest_acc)",n
0,ell_neuron,0.4385777487550452,0.4938353017786825,31
1,ell_neuron_norm,0.41382380440722044,0.44185263843355804,31
2,ell_abs,0.4385777487550452,0.4938353017786825,31
3,ell_abs_norm,0.41382380440722044,0.44185263843355804,31
4,ell_global,-0.17686728542288083,-0.13913006954136256,31
5,ell_global_norm,-0.35161912951362506,-0.3440029191956767,31
6,sum_alpha2beta2,0.4364361929318604,0.4861907924632231,31
7,coherence_mean,-0.11904957270568291,-0.08791185712778404,31
8,coherence_joint_weighted,-0.027905828932209217,-0.03287139005647577,31
9,coherence_in_weighted,0.05494023926936681,0.04816040868739473,31
10,coherence_out_weighted,-0.27096841612208344,-0.3218338421808442,31
11,top1_in,0.2972572224628439,0.2033439477912222,31
12,top1_out,0.39859826107015045,0.39831909049361286,31
13,param_norm,0.43151170307964376,0.4938353017786825,31
14,H_in,-0.3113577500554301,-0.45613761162617955,31
15,H_out,-0.42450933882642466,-0.3932847515838792,31
