epoch,filename,path,source,train_loss,test_loss,train_accuracy,test_accuracy,param_norm,coord_mode,input_projection_mode,p,K,d_mlp,ell_global,ell_neuron,ell_abs,ell_global_norm,ell_neuron_norm,ell_abs_norm,sum_alpha2beta2,coherence_in_mean,coherence_out_mean,coherence_mean,coherence_in_weighted,coherence_out_weighted,coherence_joint_weighted,H_in,H_out,top1_in,top2_in,top1_out,top2_out,param_norm_model
0,0.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/0.pth,numbered,3.135622262954712,3.135378837585449,0.03787878787878788,0.06015037593984962,3.2091968177015926,decoded,direct_vocab,23,11,512,1.245741714228643e-07,2.1876424227684765e-08,3.9764773873685044e-07,0.014744340442121029,0.0025892481207847595,0.04706476256251335,8.4489474829752e-06,0.04705929383635521,0.05456942692399025,0.05081436038017273,0.047028835862874985,0.05467529594898224,0.05087132379412651,2.3975517749786377,2.3976945877075195,0.0952775850892067,0.1878669559955597,0.09464973956346512,0.18694549798965454,3.209197006564246
200,200.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/200.pth,numbered,3.064739227294922,3.1995484828948975,0.3712121212121212,0.0,4.6895871181355195,decoded,direct_vocab,23,11,512,8.452427209704183e-06,3.3866006560856476e-05,3.3866006560856476e-05,0.2109834849834442,0.8453391790390015,0.8453391790390015,4.0062033804133534e-05,0.04842720180749893,0.17379842698574066,0.1111128181219101,0.04810263589024544,0.17381542921066284,0.11131992936134338,2.397073745727539,2.3973758220672607,0.09623109549283981,0.19058498740196228,0.09451901912689209,0.18893098831176758,4.701358400011521
400,400.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/400.pth,numbered,2.932875156402588,3.2817959785461426,0.5404040404040404,0.0,7.150765800944782,decoded,direct_vocab,23,11,512,1.3158241927158087e-05,0.00020481020328588784,0.00020481020328588784,0.060028549283742905,0.9343542456626892,0.9343542456626892,0.00021919973369222134,0.05141965299844742,0.16800501942634583,0.10971233248710632,0.051018375903367996,0.16741938889026642,0.1096588522195816,2.3963375091552734,2.397359848022461,0.09809223562479019,0.19600534439086914,0.09484414011240005,0.18892990052700043,7.163158696695061
600,600.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/600.pth,numbered,2.7475204467773438,3.3481740951538086,0.6843434343434344,0.0,9.59667982046736,decoded,direct_vocab,23,11,512,0.00010525612742640078,0.0006840118439868093,0.0006840118439868093,0.14724530279636383,0.9568803906440735,0.9568803906440735,0.0007148352451622486,0.05331960693001747,0.1312258094549179,0.09227270632982254,0.05286514759063721,0.13036730885505676,0.09196044504642487,2.3959591388702393,2.397442102432251,0.09901296347379684,0.19782298803329468,0.09495387226343155,0.18891775608062744,9.608730089830237
800,800.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/800.pth,numbered,2.5193910598754883,3.3891067504882812,0.7196969696969697,0.0,11.962341490631195,decoded,direct_vocab,23,11,512,0.00034584690001793206,0.0016729350900277495,0.0016729350900277495,0.19976356625556946,0.9662988781929016,0.9662988781929016,0.0017312811687588692,0.05423351377248764,0.10058113932609558,0.07740733027458191,0.05373932421207428,0.09983154386281967,0.07705637067556381,2.3958733081817627,2.397458076477051,0.09931284189224243,0.19828492403030396,0.09544653445482254,0.1888786256313324,11.97394944840951
1000,1000.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/1000.pth,numbered,2.2599751949310303,3.4017608165740967,0.7323232323232324,0.0,14.234151621592007,decoded,direct_vocab,23,11,512,0.0008481718832626939,0.0033781949896365404,0.0033781949896365404,0.24386122822761536,0.9712781310081482,0.9712781310081482,0.003478092374280095,0.054792240262031555,0.07876157015562057,0.06677690148353577,0.05436263978481293,0.0782102718949318,0.06654635816812515,2.3958706855773926,2.397426128387451,0.09922008961439133,0.19788135588169098,0.09551900625228882,0.18985795974731445,14.245239533445353
1200,1200.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/1200.pth,numbered,1.9824036359786987,3.379180908203125,0.7575757575757576,0.045112781954887216,16.391334065488188,decoded,direct_vocab,23,11,512,0.0016854251734912395,0.005969603545963764,0.005969603545963764,0.2751563489437103,0.9745755791664124,0.9745755791664124,0.006125336512923241,0.055462274700403214,0.06379642337560654,0.059629350900650024,0.055099647492170334,0.06340857595205307,0.0595318041741848,2.3959310054779053,2.397343635559082,0.09859184920787811,0.19685876369476318,0.09567542374134064,0.19082438945770264,16.40179161892221
1400,1400.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/1400.pth,numbered,1.6992031335830688,3.3110101222991943,0.8131313131313131,0.16541353383458646,18.418075124496134,decoded,direct_vocab,23,11,512,0.0029131690971553326,0.00955286342650652,0.00955286342650652,0.2979220747947693,0.9769459962844849,0.9769459962844849,0.009778291918337345,0.05631624534726143,0.053454674780368805,0.054885461926460266,0.05597954988479614,0.05315390229225159,0.054856594651937485,2.3959994316101074,2.397235870361328,0.0981672927737236,0.19585734605789185,0.09571973234415054,0.1913606822490692,18.427853507994612
1600,1600.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/1600.pth,numbered,1.4223337173461914,3.189265489578247,0.8535353535353535,0.2706766917293233,20.304303872817506,decoded,direct_vocab,23,11,512,0.004787464626133442,0.014159202575683594,0.014159202575683594,0.3310406804084778,0.9790719151496887,0.9790719151496887,0.014461861923336983,0.056681178510189056,0.046752121299505234,0.051716648042201996,0.056284964084625244,0.04648900032043457,0.05167512968182564,2.3960163593292236,2.3971168994903564,0.0980817973613739,0.19528299570083618,0.09597029536962509,0.1914457380771637,20.31339090594321
1800,1800.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/1800.pth,numbered,1.160969614982605,3.012681484222412,0.952020202020202,0.5639097744360902,22.057002088333153,decoded,direct_vocab,23,11,512,0.006831314414739609,0.01978236995637417,0.01978236995637417,0.33876585960388184,0.9810105562210083,0.9810105562210083,0.020165298134088516,0.05664713680744171,0.04186701774597168,0.049257077276706696,0.05625171214342117,0.04160246625542641,0.04920689016580582,2.3960537910461426,2.3969616889953613,0.09783978760242462,0.19432726502418518,0.09633171558380127,0.19174465537071228,22.065438137065488
