,coord_mode,input_projection_mode,k,alpha,beta,C_in,C_out,coh_mean_k,align_k,cos_global,alpha2,beta2,alpha2beta2,epoch
0,decoded,direct_vocab,1,0.02964366,0.029075205,0.023197034,0.01804525,0.020621143,0.013072228,0.21418706,0.0008787466,0.00084536755,7.428639e-07,0
1,decoded,direct_vocab,2,0.029708479,0.02971694,0.09474965,0.05524759,0.07499862,0.011788717,0.80578303,0.0008825937,0.00088309654,7.794154e-07,0
2,decoded,direct_vocab,3,0.029487705,0.029833172,0.04361821,0.091727346,0.067672774,-0.08633195,0.9776359,0.0008695247,0.0008900181,7.738928e-07,0
3,decoded,direct_vocab,4,0.029115962,0.029594347,0.03008458,0.03283882,0.0314617,0.009898724,0.7680076,0.0008477392,0.00087582535,7.424715e-07,0
4,decoded,direct_vocab,5,0.029475791,0.030244948,0.04290646,0.0472267,0.04506658,0.048600826,-0.9999561,0.0008688223,0.0009147569,7.9476115e-07,0
5,decoded,direct_vocab,6,0.03026762,0.029866476,0.022883812,0.02574357,0.024313692,0.115228586,-0.9999103,0.00091612886,0.0008920064,8.171928e-07,0
6,decoded,direct_vocab,7,0.029488377,0.029621335,0.04699614,0.06707628,0.05703621,0.022229752,-0.411856,0.0008695644,0.00087742344,7.629762e-07,0
7,decoded,direct_vocab,8,0.02977675,0.029344555,0.073160574,0.059059862,0.066110216,-0.05450723,0.50444067,0.00088665483,0.0008611029,7.63501e-07,0
8,decoded,direct_vocab,9,0.029706895,0.0295035,0.033013288,0.08821303,0.060613155,-0.08584167,-0.98954177,0.0008824996,0.0008704565,7.6817753e-07,0
9,decoded,direct_vocab,10,0.029837571,0.029818855,0.05293899,0.072237685,0.062588334,-0.017074184,-0.23093534,0.00089028064,0.0008891641,7.916056e-07,0
10,decoded,direct_vocab,11,0.028684698,0.029418275,0.05410349,0.042847574,0.048475534,0.047413357,0.69444567,0.0008228119,0.0008654349,7.120901e-07,0
11,decoded,direct_vocab,1,0.043580014,0.04343036,0.022392701,0.124267556,0.07333013,0.8539198,-0.8242738,0.0018992176,0.001886196,3.5822966e-06,200
12,decoded,direct_vocab,2,0.04288337,0.044261366,0.068942904,0.31067282,0.18980786,0.8174577,-0.8563992,0.0018389834,0.0019590685,3.6026943e-06,200
13,decoded,direct_vocab,3,0.042282797,0.04415997,0.080720164,0.093149684,0.086934924,0.831706,0.66315776,0.0017878349,0.0019501031,3.4864624e-06,200
14,decoded,direct_vocab,4,0.0440114,0.043257985,0.011504655,0.20181535,0.10666,0.87576294,0.29759938,0.0019370032,0.0018712532,3.6246236e-06,200
15,decoded,direct_vocab,5,0.04159376,0.045478527,0.052139632,0.21052395,0.13133179,0.84691,0.5172953,0.0017300409,0.0020682963,3.578237e-06,200
16,decoded,direct_vocab,6,0.04351671,0.04496921,0.017298462,0.18459594,0.1009472,0.8545337,-0.6057781,0.0018937041,0.0020222296,3.8295043e-06,200
